gvkey,datadate,IBES_covered
001414,2011-12-31,TRUE
001414,2012-12-31,TRUE
001414,2013-12-31,TRUE
001414,2014-12-31,TRUE
001414,2015-12-31,TRUE
001414,2016-12-31,TRUE
001414,2017-12-31,TRUE
001414,2018-12-31,TRUE
001414,2019-12-31,TRUE
001430,1984-12-31,TRUE
001430,1985-12-31,TRUE
001430,1986-12-31,TRUE
001430,1987-12-31,TRUE
001430,1988-12-31,TRUE
001430,1989-12-31,TRUE
001430,1990-12-31,TRUE
001430,1991-12-31,TRUE
001430,1992-12-31,TRUE
001440,1984-12-31,TRUE
001440,1985-12-31,TRUE
001440,1986-12-31,TRUE
001440,1987-12-31,TRUE
001440,1988-12-31,TRUE
001440,1989-12-31,TRUE
001440,1990-12-31,TRUE
001440,1991-12-31,TRUE
001440,1992-12-31,TRUE
001440,1993-12-31,TRUE
001440,1994-12-31,TRUE
001440,1995-12-31,TRUE
001440,1996-12-31,TRUE
001440,1997-12-31,TRUE
001440,1998-12-31,TRUE
001440,1999-12-31,TRUE
001440,2000-12-31,TRUE
001440,2001-12-31,TRUE
001440,2002-12-31,TRUE
001440,2003-12-31,TRUE
001440,2004-12-31,TRUE
001440,2005-12-31,TRUE
001440,2006-12-31,TRUE
001440,2007-12-31,TRUE
001440,2008-12-31,TRUE
001440,2009-12-31,TRUE
001440,2010-12-31,TRUE
001440,2011-12-31,TRUE
001440,2012-12-31,TRUE
001440,2013-12-31,TRUE
001440,2014-12-31,TRUE
001440,2015-12-31,TRUE
001440,2016-12-31,TRUE
001440,2017-12-31,TRUE
001440,2018-12-31,TRUE
001440,2019-12-31,TRUE
001447,1984-12-31,TRUE
001447,1985-12-31,TRUE
001447,1986-12-31,TRUE
001447,1987-12-31,TRUE
001447,1988-12-31,TRUE
001447,1989-12-31,TRUE
001447,1990-12-31,TRUE
001447,1991-12-31,TRUE
001447,1992-12-31,TRUE
001447,1993-12-31,TRUE
001447,1994-12-31,TRUE
001447,1995-12-31,TRUE
001447,1996-12-31,TRUE
001447,1997-12-31,TRUE
001447,1998-12-31,TRUE
001447,1999-12-31,TRUE
001447,2000-12-31,TRUE
001447,2001-12-31,TRUE
001447,2002-12-31,TRUE
001447,2003-12-31,TRUE
001447,2004-12-31,TRUE
001447,2005-12-31,TRUE
001447,2006-12-31,TRUE
001447,2007-12-31,TRUE
001447,2008-12-31,TRUE
001447,2009-12-31,TRUE
001447,2010-12-31,TRUE
001447,2011-12-31,TRUE
001447,2012-12-31,TRUE
001447,2013-12-31,TRUE
001447,2014-12-31,TRUE
001447,2015-12-31,TRUE
001447,2016-12-31,TRUE
001447,2017-12-31,TRUE
001447,2018-12-31,TRUE
001447,2019-12-31,TRUE
001449,1993-12-31,TRUE
001449,1994-12-31,TRUE
001449,1995-12-31,TRUE
001449,1996-12-31,TRUE
001449,1997-12-31,TRUE
001449,1998-12-31,TRUE
001449,1999-12-31,TRUE
001449,2000-12-31,TRUE
001449,2001-12-31,TRUE
001449,2002-12-31,TRUE
001449,2003-12-31,TRUE
001449,2004-12-31,TRUE
001449,2005-12-31,TRUE
001449,2006-12-31,TRUE
001449,2007-12-31,TRUE
001449,2008-12-31,TRUE
001449,2009-12-31,TRUE
001449,2010-12-31,TRUE
001449,2011-12-31,TRUE
001449,2012-12-31,TRUE
001449,2013-12-31,TRUE
001449,2014-12-31,TRUE
001449,2015-12-31,TRUE
001449,2016-12-31,TRUE
001449,2017-12-31,TRUE
001449,2018-12-31,TRUE
001449,2019-12-31,TRUE
001456,1985-12-31,TRUE
001456,1986-12-31,TRUE
001456,1987-12-31,TRUE
001456,1988-12-31,TRUE
001456,1989-12-31,TRUE
001456,1990-12-31,TRUE
001456,1992-12-31,TRUE
001456,1993-12-31,TRUE
001456,1994-12-31,TRUE
